,category,id,item_nm,item_price,url,img_url
79,table,864737,[해외] 비글 거실 쇼파 사이드 테이블,"77,900원",https://ohou.se/productions/864737/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/162278349871634852.jpg?gif=1&w=480&h=480&c=c
80,table,660424,크로켓 리프트업 티테이블,"410,000원",https://ohou.se/productions/660424/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/161104191478653348.jpg?gif=1&w=480&h=480&c=c
81,table,259631,모노디 확장형 티테이블,"316,000원",https://ohou.se/productions/259631/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/158449503663161949.jpg?gif=1&w=480&h=480&c=c
82,table,325243,피넛 원목 좌식 거실테이블,"34,900원",https://ohou.se/productions/325243/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/160039788261221324.jpg?gif=1&w=480&h=480&c=c
83,table,189395,케렌시아 커피테이블 다용도 거실좌탁 2colors,"27,500원",https://ohou.se/productions/189395/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/1571215423_105621_12.jpg?gif=1&w=480&h=480&c=c
84,table,900181,모듈선반 툴랙_002,"85,000원",https://ohou.se/productions/900181/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/162494551139369078.jpg?gif=1&w=480&h=480&c=c
85,table,227133,[쿠폰할인] 루아드 티 테이블,"148,000원",https://ohou.se/productions/227133/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/1578287147_101837_1.jpg?gif=1&w=480&h=480&c=c
86,table,427634,접이식 온열 테이블 코타츠 KOR-75(F),"93,000원",https://ohou.se/productions/427634/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/159592655093688893.jpg?gif=1&w=480&h=480&c=c
87,table,368525,HPM 원목 사이드협탁 1번(310X310X375) 2colors,"32,900원",https://ohou.se/productions/368525/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/158951564972933980.jpg?gif=1&w=480&h=480&c=c
88,table,420151,라이프 LPM 리프트테이블 800size 3colors,"59,000원",https://ohou.se/productions/420151/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/1595462551_121155_22.jpg?gif=1&w=480&h=480&c=c
89,table,160665,델타듀얼 리프트업 소파테이블 2colors (1200X725),"449,000원",https://ohou.se/productions/160665/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/1565073585_100571_1.jpg?gif=1&w=480&h=480&c=c
90,table,142391,제니아 리프트 테이블 1000(라운드형) 7colors,"169,900원",https://ohou.se/productions/142391/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/1561626089_102436_12.jpg?gif=1&w=480&h=480&c=c
91,table,376575,Fillippo 접이식 사이드테이블,"19,900원",https://ohou.se/productions/376575/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/1592532825_103452_1.jpg?gif=1&w=480&h=480&c=c
92,table,303687,Ditto 리마인드 1200 리프트테이블 소파테이블,"169,000원",https://ohou.se/productions/303687/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/1589288994_100895_1.jpg?gif=1&w=480&h=480&c=c
93,table,887874,모듈 아크릴 미니테이블 보조 협탁 선반 카페소품 - 직사각,"75,000원",https://ohou.se/productions/887874/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/162426577986213376.png?gif=1&w=480&h=480&c=c
94,table,201120,VITTSJO 커피테이블,"95,900원",https://ohou.se/productions/201120/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/157351959328721541.jpg?gif=1&w=480&h=480&c=c
95,table,308508,모듈 콘솔 G-1,"112,100원",https://ohou.se/productions/308508/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/160256558551710828.jpg?gif=1&w=480&h=480&c=c
96,table,659822,나무드림 통원목 좌식테이블 6size,"155,000원",https://ohou.se/productions/659822/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/15650448080324_fE18f.jpg?gif=1&w=480&h=480&c=c
97,table,938007,스틸 유리 거실 테이블 Asymmetric Figure Table,"280,000원",https://ohou.se/productions/938007/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/162692464671752526.jpg?gif=1&w=480&h=480&c=c
98,table,298990,유얼스 1200 리프트 테이블,"74,900원",https://ohou.se/productions/298990/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/158915685665955848.jpg?gif=1&w=480&h=480&c=c
99,table,300656,HPM 원목 사이드협탁 6번(600X600X360) 2colors,"94,900원",https://ohou.se/productions/300656/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/161173559809177467.jpg?gif=1&w=480&h=480&c=c
100,table,972769,아씨방가구 어반 서클/에그 원목 소파테이블 2type 3size,"179,000원",https://ohou.se/productions/972769/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/15650448065323_tVGLh.jpg?gif=1&w=480&h=480&c=c
101,table,817378,E-3 강화유리 모듈가구 철제 선반 장식장 수납장 콘솔 테이블,"123,900원",https://ohou.se/productions/817378/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/162021822596154674.jpg?gif=1&w=480&h=480&c=c
102,table,388745,순수원목 HANN 사이드테이블,"32,900원",https://ohou.se/productions/388745/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/159344158243824812.jpg?gif=1&w=480&h=480&c=c
